diff --git a/TMessagesProj/google-services.json b/TMessagesProj/google-services.json
deleted file mode 100644
index eed7a0d6e..000000000
--- a/TMessagesProj/google-services.json
+++ /dev/null
@@ -1,69 +0,0 @@
-{
-  "project_info": {
-    "project_number": "823609734831",
-    "firebase_url": "https://telegram-6c67b.firebaseio.com",
-    "project_id": "telegram-6c67b",
-    "storage_bucket": "telegram-6c67b.appspot.com"
-  },
-  "client": [
-    {
-      "client_info": {
-        "mobilesdk_app_id": "1:823609734831:android:baf81f2616d79df4",
-        "android_client_info": {
-          "package_name": "org.telegram.messenger.isamorodov"
-        }
-      },
-      "oauth_client": [
-        {
-          "client_id": "823609734831-s42v08v4bt02dlhmfiqhkvfeoulp0ehe.apps.googleusercontent.com",
-          "client_type": 3
-        }
-      ],
-      "api_key": [
-        {
-          "current_key": "AIzaSyAl3qfQnlU-CdW4Tsm6HAA2K7DqX6kLnJg"
-        }
-      ],
-      "services": {
-        "appinvite_service": {
-          "other_platform_oauth_client": [
-            {
-              "client_id": "823609734831-s42v08v4bt02dlhmfiqhkvfeoulp0ehe.apps.googleusercontent.com",
-              "client_type": 3
-            }
-          ]
-        }
-      }
-    },
-    {
-      "client_info": {
-        "mobilesdk_app_id": "1:823609734831:android:547d2085fa4b94f6",
-        "android_client_info": {
-          "package_name": "org.telegram.messenger.isamorodov.beta"
-        }
-      },
-      "oauth_client": [
-        {
-          "client_id": "823609734831-s42v08v4bt02dlhmfiqhkvfeoulp0ehe.apps.googleusercontent.com",
-          "client_type": 3
-        }
-      ],
-      "api_key": [
-        {
-          "current_key": "AIzaSyAl3qfQnlU-CdW4Tsm6HAA2K7DqX6kLnJg"
-        }
-      ],
-      "services": {
-        "appinvite_service": {
-          "other_platform_oauth_client": [
-            {
-              "client_id": "823609734831-s42v08v4bt02dlhmfiqhkvfeoulp0ehe.apps.googleusercontent.com",
-              "client_type": 3
-            }
-          ]
-        }
-      }
-    }
-  ],
-  "configuration_version": "1"
-}
\ No newline at end of file
